airline,source_city,destination_city,departure_time,arrival_time,stops,class,days_before_departure,duration_hours,fare_inr
Vistara,Ahmedabad,Chennai,Morning (06-12),Morning (06-12),non-stop,Economy,88,1.3,7876
SpiceJet,Kolkata,Chennai,Morning (06-12),Morning (06-12),1 stop,Business,2,3.4,16322
Vistara,Goa,Kolkata,Night (21-00),Night (21-00),non-stop,Economy,59,1.3,7285
Vistara,Bangalore,Ahmedabad,Evening (18-21),Night (21-00),1 stop,Economy,51,2.8,7786
Air India,Hyderabad,Goa,Evening (18-21),Night (21-00),1 stop,Economy,90,3.0,6586
Vistara,Pune,Jaipur,Afternoon (12-18),Evening (18-21),2+ stops,Economy,4,4.5,7173
Air India,Hyderabad,Pune,Night (21-00),Early Morning (00-06),2+ stops,Economy,34,3.9,5681
AirAsia India,Pune,Goa,Night (21-00),Night (21-00),non-stop,Economy,53,1.5,4826
Vistara,Jaipur,Delhi,Early Morning (00-06),Early Morning (00-06),2+ stops,Economy,8,3.6,6026
IndiGo,Chennai,Ahmedabad,Morning (06-12),Morning (06-12),non-stop,Business,72,1.2,10363
AirAsia India,Ahmedabad,Chennai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,35,2.7,4874
AirAsia India,Bangalore,Delhi,Night (21-00),Early Morning (00-06),1 stop,Economy,27,2.4,4669
Air India,Bangalore,Ahmedabad,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,23,1.6,7005
GoFirst,Hyderabad,Ahmedabad,Afternoon (12-18),Afternoon (12-18),1 stop,Business,42,3.0,8823
AirAsia India,Hyderabad,Ahmedabad,Evening (18-21),Evening (18-21),non-stop,Business,1,1.4,13145
Vistara,Jaipur,Bangalore,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,51,2.5,9466
SpiceJet,Kolkata,Jaipur,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,58,1.0,4743
IndiGo,Ahmedabad,Delhi,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,54,2.9,5341
IndiGo,Bangalore,Mumbai,Night (21-00),Early Morning (00-06),1 stop,Business,32,2.8,7747
SpiceJet,Delhi,Pune,Night (21-00),Early Morning (00-06),1 stop,Economy,11,3.6,5626
IndiGo,Kolkata,Bangalore,Evening (18-21),Night (21-00),non-stop,Economy,90,2.4,7199
Vistara,Jaipur,Delhi,Morning (06-12),Morning (06-12),1 stop,Economy,57,1.8,6252
Vistara,Goa,Jaipur,Evening (18-21),Night (21-00),1 stop,Economy,48,2.9,7504
SpiceJet,Pune,Goa,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,3,1.4,5658
IndiGo,Ahmedabad,Hyderabad,Afternoon (12-18),Evening (18-21),2+ stops,Economy,84,4.1,5220
IndiGo,Bangalore,Goa,Night (21-00),Night (21-00),non-stop,Economy,66,1.0,4693
IndiGo,Hyderabad,Delhi,Evening (18-21),Evening (18-21),non-stop,Economy,20,2.1,6566
SpiceJet,Delhi,Mumbai,Evening (18-21),Night (21-00),1 stop,Economy,22,3.7,5818
SpiceJet,Mumbai,Kolkata,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,69,2.9,4097
Vistara,Bangalore,Delhi,Early Morning (00-06),Morning (06-12),2+ stops,Economy,46,4.4,7073
IndiGo,Chennai,Jaipur,Night (21-00),Early Morning (00-06),non-stop,Business,60,2.6,11941
GoFirst,Pune,Delhi,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,54,2.1,6695
Air India,Kolkata,Ahmedabad,Morning (06-12),Morning (06-12),non-stop,Economy,90,1.6,7672
SpiceJet,Kolkata,Ahmedabad,Night (21-00),Night (21-00),non-stop,Economy,50,1.5,5779
GoFirst,Hyderabad,Delhi,Evening (18-21),Night (21-00),2+ stops,Economy,66,5.2,4985
SpiceJet,Jaipur,Kolkata,Morning (06-12),Morning (06-12),1 stop,Economy,42,2.8,5793
Vistara,Chennai,Delhi,Night (21-00),Night (21-00),non-stop,Business,68,1.4,10146
AirAsia India,Bangalore,Ahmedabad,Evening (18-21),Evening (18-21),non-stop,Business,30,1.4,10101
SpiceJet,Goa,Pune,Morning (06-12),Morning (06-12),non-stop,Business,23,1.8,10715
IndiGo,Goa,Delhi,Morning (06-12),Morning (06-12),non-stop,Economy,89,2.5,8355
GoFirst,Pune,Chennai,Night (21-00),Night (21-00),non-stop,Economy,16,1.5,5327
IndiGo,Hyderabad,Kolkata,Evening (18-21),Night (21-00),non-stop,Economy,85,1.9,6415
AirAsia India,Chennai,Ahmedabad,Morning (06-12),Morning (06-12),1 stop,Economy,34,2.9,5527
GoFirst,Hyderabad,Jaipur,Morning (06-12),Morning (06-12),non-stop,Economy,84,1.3,6507
Vistara,Delhi,Mumbai,Night (21-00),Early Morning (00-06),1 stop,Business,67,3.6,11021
SpiceJet,Mumbai,Hyderabad,Morning (06-12),Morning (06-12),1 stop,Economy,8,3.2,5617
AirAsia India,Mumbai,Hyderabad,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,75,3.0,4328
GoFirst,Jaipur,Hyderabad,Morning (06-12),Morning (06-12),non-stop,Economy,49,1.6,6655
IndiGo,Pune,Jaipur,Night (21-00),Night (21-00),non-stop,Economy,23,1.3,5361
IndiGo,Delhi,Chennai,Early Morning (00-06),Early Morning (00-06),non-stop,Business,49,1.3,8032
Vistara,Hyderabad,Bangalore,Morning (06-12),Morning (06-12),1 stop,Economy,12,2.6,6750
Vistara,Chennai,Ahmedabad,Early Morning (00-06),Early Morning (00-06),non-stop,Business,58,1.4,9699
GoFirst,Bangalore,Ahmedabad,Night (21-00),Night (21-00),non-stop,Economy,76,1.6,5027
IndiGo,Kolkata,Ahmedabad,Night (21-00),Night (21-00),non-stop,Economy,27,1.3,5355
GoFirst,Kolkata,Bangalore,Night (21-00),Early Morning (00-06),non-stop,Economy,71,2.5,6169
GoFirst,Kolkata,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,67,1.3,4957
AirAsia India,Goa,Hyderabad,Evening (18-21),Night (21-00),1 stop,Business,39,3.0,8638
AirAsia India,Jaipur,Delhi,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,6,1.5,3574
AirAsia India,Chennai,Kolkata,Evening (18-21),Night (21-00),1 stop,Business,18,3.4,10194
IndiGo,Chennai,Pune,Afternoon (12-18),Evening (18-21),2+ stops,Economy,12,4.5,5543
GoFirst,Ahmedabad,Hyderabad,Morning (06-12),Morning (06-12),non-stop,Economy,28,1.0,6104
Vistara,Bangalore,Pune,Morning (06-12),Morning (06-12),non-stop,Economy,25,1.3,7768
Air India,Chennai,Ahmedabad,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,49,3.2,6210
IndiGo,Kolkata,Delhi,Night (21-00),Night (21-00),non-stop,Economy,1,1.9,7292
GoFirst,Kolkata,Bangalore,Night (21-00),Early Morning (00-06),1 stop,Economy,74,4.1,5957
AirAsia India,Jaipur,Delhi,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,65,0.8,3836
Vistara,Ahmedabad,Pune,Morning (06-12),Morning (06-12),1 stop,Economy,3,3.2,8958
AirAsia India,Chennai,Goa,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,79,1.4,4524
SpiceJet,Bangalore,Ahmedabad,Evening (18-21),Night (21-00),2+ stops,Economy,82,4.2,4249
